#IAU names		IVS names		SNR		SNR		KT-KU		KT-KY		KU-KY		KT-KU		KT-KY		KU-KY		Obscode		New detection	
#[J1950]		-		KT		KU		[kλ]		[kλ]		[kλ]		[Jy]		[Jy]		[Jy]		-		Y/N	
0104-035	 	0104-035	 	98.3	 	99.8	 	25422.655	 	35271.397	 	12723.573	 	-1	 	0.229	 	-1	 	s14jl01c	 	Y	  
0104-035	 	0104-035	 	101.1	 	103.5	 	27090.046	 	33415.533	 	13654.394	 	0.197	 	0.235	 	0.148	 	s14jl01c	 	Y	  
0104-035	 	0104-035	 	109.2	 	91.1	 	-1	 	32525.415	 	-1	 	-1	 	0.322	 	-1	 	s14jl01a	 	Y	  
0104-035	 	0104-035	 	112.9	 	114.9	 	27172.647	 	33226.726	 	13833.762	 	0.266	 	0.322	 	-1	 	s14jl01d	 	Y	  
0104-035	 	0104-035	 	101.6	 	-1	 	-1	 	30322.448	 	-1	 	-1	 	0.343	 	-1	 	s14jl01a	 	Y	  
0106+013	 	0106+013	 	243.2	 	265.5	 	23359.61	 	36271.63	 	14678.932	 	1.407	 	-1	 	1.603	 	s14jl01d	 	N	  
0106+013	 	0106+013	 	260.1	 	265.9	 	16795.949	 	35102.406	 	20116.379	 	-1	 	1.481	 	-1	 	s14jl01d	 	N	  
0106+013	 	0106+013	 	230.5	 	105.5	 	-1	 	34231.198	 	-1	 	-1	 	1.572	 	-1	 	s14jl01a	 	N	  
0106+013	 	0106+013	 	227.3	 	107.2	 	-1	 	31196.672	 	-1	 	-1	 	1.972	 	-1	 	s14jl01a	 	N	  
0108-079	 	0108-079	 	97.5	 	106.3	 	26070.168	 	34451.539	 	11162.525	 	-1	 	0.187	 	-1	 	s14jl01d	 	Y	  
0108-079	 	0108-079	 	105.9	 	106.9	 	27182.292	 	32625.611	 	12044.597	 	-1	 	0.229	 	-1	 	s14jl01c	 	Y	  
0108-079	 	0108-079	 	102.8	 	113.9	 	25710.546	 	34798.516	 	11214.427	 	-1	 	0.252	 	-1	 	s14jl01c	 	Y	  
0108-079	 	0108-079	 	121.7	 	120.6	 	27303.01	 	32208.325	 	12415.703	 	-1	 	0.331	 	-1	 	s14jl01d	 	Y	  
0108-079	 	0108-079	 	110	 	82.8	 	-1	 	30427.214	 	-1	 	-1	 	0.357	 	-1	 	s14jl01a	 	Y	  
0108-079	 	0108-079	 	104.8	 	-1	 	-1	 	28090.667	 	-1	 	-1	 	0.378	 	-1	 	s14jl01a	 	Y	  
0109-135	 	0109-135	 	79.9	 	86.2	 	26925.173	 	32685.041	 	9246.397	 	-1	 	0.157	 	-1	 	s14jl01c	 	Y	  
0109-135	 	0109-135	 	81.8	 	84.8	 	26654.439	 	33241.71	 	9118.947	 	0.161	 	0.169	 	0.195	 	s14jl01d	 	Y	  
0109-135	 	0109-135	 	86.4	 	75	 	27419.808	 	29761	 	11601.006	 	0.092	 	0.192	 	0.119	 	s14jl01c	 	Y	  
0109-135	 	0109-135	 	96.1	 	96.5	 	27424.109	 	30497.636	 	10835.355	 	0.244	 	0.215	 	-1	 	s14jl01d	 	Y	  
0109-135	 	0109-135	 	83.3	 	-1	 	-1	 	26185.1	 	-1	 	-1	 	0.224	 	-1	 	s14jl01a	 	Y	  
0109-135	 	0109-135	 	88	 	-1	 	-1	 	24220.075	 	-1	 	-1	 	0.249	 	-1	 	s14jl01a	 	Y	  
0112-017	 	0112-017	 	101.8	 	97.4	 	15563.957	 	34512.842	 	20679.003	 	-1	 	0.123	 	-1	 	s14jl01d	 	N	  
0112-017	 	0112-017	 	104.4	 	116.9	 	24990.143	 	35618.19	 	13361.446	 	0.084	 	0.14	 	0.337	 	s14jl01c	 	N	  
0112-017	 	0112-017	 	105.9	 	109.2	 	24164.469	 	35971.881	 	13592.318	 	-1	 	-1	 	0.341	 	s14jl01d	 	N	  
0112-017	 	0112-017	 	113.5	 	112.8	 	26897.046	 	33976.767	 	14048.709	 	-1	 	0.318	 	-1	 	s14jl01c	 	N	  
0112-017	 	0112-017	 	121.2	 	103.9	 	-1	 	33323.46	 	-1	 	-1	 	0.339	 	-1	 	s14jl01a	 	N	  
0112-017	 	0112-017	 	118.7	 	79.3	 	-1	 	31233.734	 	-1	 	-1	 	0.392	 	-1	 	s14jl01a	 	N	  
0113-118	 	0113-118	 	142.9	 	158.2	 	26791.891	 	33116.247	 	9841.813	 	0.443	 	0.337	 	0.53	 	s14jl01c	 	N	  
0113-118	 	0113-118	 	152.9	 	146.7	 	27431.665	 	30353.035	 	11999.389	 	0.498	 	0.59	 	-1	 	s14jl01c	 	N	  
0113-118	 	0113-118	 	159.3	 	163.5	 	26363.914	 	33827.549	 	9742.538	 	0.663	 	0.619	 	0.678	 	s14jl01d	 	N	  
0113-118	 	0113-118	 	167.4	 	176.5	 	27372.545	 	31286.842	 	11072.331	 	0.735	 	0.649	 	0.782	 	s14jl01d	 	N	  
0113-118	 	0113-118	 	155.4	 	99.7	 	-1	 	28081.011	 	-1	 	-1	 	0.729	 	-1	 	s14jl01a	 	N	  
0113-118	 	0113-118	 	151.5	 	-1	 	-1	 	25591.759	 	-1	 	-1	 	0.782	 	-1	 	s14jl01a	 	N	  
0114+140	 	0114+140	 	69.8	 	69.6	 	25998.906	 	36064.901	 	18559.499	 	0.116	 	0.146	 	0.108	 	s14jl01c	 	Y	  
0114+140	 	0114+140	 	81.9	 	79	 	23242.914	 	36465.099	 	18027.903	 	0.153	 	-1	 	0.146	 	s14jl01c	 	Y	  
0114+140	 	0114+140	 	74.1	 	-1	 	-1	 	36317.514	 	-1	 	-1	 	0.168	 	-1	 	s14jl01a	 	Y	  
0114+140	 	0114+140	 	82.9	 	83.3	 	20973.565	 	36253.187	 	18858.436	 	0.168	 	0.17	 	-1	 	s14jl01d	 	Y	  
0114+140	 	0114+140	 	93.5	 	93.6	 	21198.905	 	35468.492	 	21555.93	 	-1	 	0.188	 	-1	 	s14jl01d	 	Y	  
